ابو هامور - الجتلاوية,Al Jatlawiya St.,25.24985637518200,51.48708988062400,1.21,2024-02-23T10:48:00+03:00
ابو هامور - شارع الحلول,St. 405,25.24993425704900,51.48014961802000,1.57,2024-02-23T10:54:00+03:00
ابو هامور - شارع حزم,Hazm Rawdan St.,25.23023853274000,51.49174466878600,0.25,2024-02-23T10:48:00+03:00
ابو هامور - شارع وادي القرى,Wadi Al Qura St.,25.24468289941000,51.49633662571800,3.19,2024-02-23T10:48:00+03:00
استاد 974,974 STADIUM,25.28901920000000,51.56626080000000,0.92,2024-02-23T10:42:00+03:00
استاد أحمد بن علي,Ahmed Bin Ali Stadium,25.33019140000000,51.34013120000000,2.14,2024-02-23T10:54:00+03:00
استاد البيت,Al Khor St.,25.65365717962700,51.48638925938700,1.81,2024-02-23T11:06:00+03:00
استاد الثمامة,Al Mirqab Al Jadeed Street,25.23309071415700,51.53356580425300,2.48,2024-02-23T10:54:00+03:00
استاد الجنوب,Al Janoub Stadium,25.15989510000000,51.57420270000000,0.68,2024-02-23T10:42:00+03:00
استاد خليفة,Al Waab Street,25.26352510000000,51.44806060000000,0.04,2024-02-23T10:54:00+03:00
الثمامة - شارع الهدراء,Alhadara St.,25.23698739815200,51.55958358846900,2.05,2024-02-23T10:48:00+03:00
الثمامة - شارع الهدراء 2,Al Hadara St.,25.23632548900000,51.55611233120000,1.4,2024-02-23T11:06:00+03:00
الخليج الغربي west Bay,April 4th St.,25.37333897400000,51.52261738470000,1.66,2024-02-23T10:42:00+03:00
الريان,999 st,25.26137880000000,51.49986230000000,2.29,2024-02-23T10:48:00+03:00
الريان - شارع الصبيحة,Al Subaiha St.,25.29259640420000,51.42594085380000,1.15,2024-02-23T10:42:00+03:00
الريان - شارع القديم,Al Rayyan Al Qadeem St.,25.30673628680000,51.45097377120000,0.47,2024-02-23T11:06:00+03:00
الريان - وادي القمرية,97 St.,25.21345021920000,51.48966873650000,1.34,2024-02-23T11:06:00+03:00
الريان شارع القدس,Al quds st,25.28293600000000,51.51340100000000,2.19,2024-02-23T10:42:00+03:00
السدرة - شارع الجمعية,Ibn salama st.,25.30150338870000,51.43646868470000,1.99,2024-02-23T10:42:00+03:00
السعد - شارع ابن ادريس,ibn idrees street,25.28840324272400,51.49873522295200,1.61,2024-02-23T11:06:00+03:00
السعد - شارع العربية,alrabei street,25.28366504539500,51.50132518672100,1.62,2024-02-23T10:48:00+03:00
العزيزة - شارع الدر,Al Durr St.,25.24656600000000,51.43896500000000,1.57,2024-02-23T10:54:00+03:00
المرقاب - شارع اشجان بن عامر,ashjan bin amr street,25.27614785897600,51.50537772469800,2.77,2024-02-23T10:48:00+03:00
المرقاب - مسجد ثابت بن ربيعة مسجد م.س 704,Al Suhoul St.,25.27126844061100,51.49271779613400,0.38,2024-02-23T11:00:00+03:00
المطار القديم - الشارع الدائري,D Ring St.,25.25580380099700,51.54804315198500,1.6,2024-02-23T11:00:00+03:00
المطار القديم - شارع احمد بن شاهد,Ahmed Bin Shaheed St ,25.24952787817700,51.54878891521000,0.91,2024-02-23T11:00:00+03:00
المطار القديم - شارع نهاوند,Nahawand St.,25.24849770572200,51.55857493064000,1.83,2024-02-23T10:54:00+03:00
المنتزه - شارع الجمعية,Al Jamaeya St.,25.27013612790000,51.52096507120000,2.77,2024-02-23T10:42:00+03:00
المنتزه - شارع العباب,Al Obab,25.27408160470000,51.52643040830000,1.82,2024-02-23T11:00:00+03:00
الميرا - شارع المنتزه,Ibn Dirhem St.,25.27122124950000,51.52801328470000,1.58,2024-02-23T11:06:00+03:00
الهلال - شارع السلام,Al Salam St.,25.25580380100000,51.54804315200000,2.5,2024-02-23T11:06:00+03:00
الوعب - شارع توام,Al Tuwaim St.,25.26619469250000,51.47319400510000,2.26,2024-02-23T10:54:00+03:00
الوكرة - راس الاسويد,Ras al Esaiwed Str.,25.15948906974200,51.60882937245200,1.37,2024-02-23T10:48:00+03:00
الوكرة شارع ام بشر,993,25.16374026440100,51.59913760501700,0.97,2024-02-23T11:06:00+03:00
ام السنيم - شارع 134,135 St.,25.21490961942900,51.47956237205400,1.51,2024-02-23T10:48:00+03:00
ام غويلينة - شارع ابو بكر الصديق,Abu Bakr Al Siddiq St.,25.28069551910000,51.54523535250000,1.62,2024-02-23T11:00:00+03:00
بن محمود - العالية مسجد م.س302,Al Alia St.,25.27836870214700,51.48658260192600,1.63,2024-02-23T11:00:00+03:00
جامع القايد الكبير م.س143,Anas Bin Malik Street,25.27626371586800,51.53307088219100,2.74,2024-02-23T11:06:00+03:00
حديقة  عنيزة الجديدة,New Onaiza Family Park,25.34691750000000,51.51763600000000,0.78,2024-02-23T11:06:00+03:00
حديقة القطيفية,Al Legtaifiya Park,25.35644630000000,51.51649990000000,2.87,2024-02-23T10:42:00+03:00
حديقة عنيزة القديمة للعائلات,Meshrif Street,25.32885130000000,51.51289190000000,1.27,2024-02-23T11:06:00+03:00
دخان - شارع الهلول,Al Halul St.,25.41543952996800,50.77814816349500,0.91,2024-02-23T10:54:00+03:00
دخان - شارع طارق الجبلي,Al Tareeq Al Jabaly St.,25.42646230651800,50.78369212883500,1.41,2024-02-23T10:48:00+03:00
دوحة الجديدة - شارع المغيرة بن شعبة,Al Mughira Bin Shuba St,25.27646356719100,51.53627162523200,2.76,2024-02-23T11:12:00+03:00
شارع الدوام Al Dawm St الريان,St. 241,25.22267487718600,51.44303116931100,2.22,2024-02-23T10:48:00+03:00
شارع الزبير,Al zubair street,25.27906850000000,51.52422820000000,2.06,2024-02-23T10:48:00+03:00
شارع المزروعة,Al Mazrouah Street,25.33495100000000,51.42538100000000,1.23,2024-02-23T11:06:00+03:00
شارع سعد بن عبادة,saad bin ubada st,25.27808600000000,51.54040900000000,1.43,2024-02-23T10:42:00+03:00
فريج العلي,ibn durald street,25.24533100000000,51.52230200000000,2.33,2024-02-23T10:42:00+03:00
فريج عبدالعزيز - ام شبرام,um al shebram,25.27777680261100,51.52611616327900,2.24,2024-02-23T11:12:00+03:00
مؤسسة حمد بن خالد - شارع ام السنيم,Umm Al Seneem St ,25.23986077509400,51.46727163558100,0.49,2024-02-23T10:54:00+03:00
متحف الفن الاسلامي,Museum of Islamic Art,25.29552840000000,51.53915790000000,2.11,2024-02-23T10:48:00+03:00
متحف بيت الشركة مشيرب,Msheirib down town,25.28596210000000,51.52683580000000,0.76,2024-02-23T11:12:00+03:00
متحف قطر الوطني,Museum Park Street,25.28920910000000,51.54677850000000,0.88,2024-02-23T10:48:00+03:00
مسجد التوحيد م.خ. 40,Street 52,25.72114963729700,51.52996675679500,0.89,2024-02-23T11:12:00+03:00
مسجد م.س1154,Street 688,25.67068603312100,51.51120043297800,2.41,2024-02-23T10:42:00+03:00
نادي قطر الرياضي,Suheim bin Hamad Stadium,25.31698060000000,51.51239540000000,6.61,2024-02-23T11:00:00+03:00
هيئة الرقابة الادارية والشفافية,Majli Al Taawon st,25.31424800157000,51.51838316259100,1.35,2024-02-23T11:06:00+03:00
وزارة البيئة والتغير المناخي,Ambasador st,25.32695224480200,51.52825230225700,1.86,2024-02-23T10:48:00+03:00
وزارة الثقافة,jawaan St.,25.32491393735700,51.53520892833300,0.22,2024-02-23T10:48:00+03:00
